gene_id	status
LOC5518241	unmethylated
LOC5518235	unmethylated
LOC5518234	unmethylated
LOC125571925	unmethylated
LOC5518239	unmethylated
LOC5518293	unmethylated
LOC116601980	unmethylated
LOC116601978	unmethylated
LOC5518295	unmethylated
LOC5518296	unmethylated
LOC116601955	unmethylated
LOC5518251	unmethylated
LOC116601976	unmethylated
LOC116601991	unmethylated
LOC5518256	unmethylated
LOC5518259	unmethylated
LOC5518303	unmethylated
LOC5518261	unmethylated
LOC116601941	unmethylated
LOC116601996	unmethylated
LOC116601942	unmethylated
LOC125572159	unmethylated
LOC5518310	unmethylated
LOC5518312	unmethylated
LOC5518316	unmethylated
LOC5518267	unmethylated
LOC5518321	unmethylated
LOC5518270	unmethylated
LOC5518271	unmethylated
LOC5504746	unmethylated
LOC116616110	unmethylated
LOC5509104	unmethylated
LOC5509111	unmethylated
LOC5509103	unmethylated
LOC116616125	unmethylated
LOC116616126	unmethylated
LOC116616111	unmethylated
LOC116616105	unmethylated
LOC116616106	unmethylated
LOC5509118	unmethylated
LOC116616113	unmethylated
LOC5509120	unmethylated
LOC116616109	unmethylated
LOC116616115	unmethylated
LOC116616117	unmethylated
LOC116616116	unmethylated
LOC116616112	unmethylated
LOC5509127	unmethylated
LOC5509128	unmethylated
LOC5509130	unmethylated
LOC125560980	unmethylated
LOC116616121	unmethylated
LOC5509132	unmethylated
LOC5509144	unmethylated
LOC5509134	unmethylated
LOC5518278	unmethylated
LOC5518279	unmethylated
LOC5518328	unmethylated
LOC116601973	unmethylated
LOC5518330	unmethylated
LOC5518281	unmethylated
LOC5518331	unmethylated
LOC5518282	unmethylated
LOC125561098	unmethylated
LOC5518336	unmethylated
LOC116602010	unmethylated
LOC125561099	unmethylated
LOC5518285	unmethylated
LOC116602008	unmethylated
LOC5500362	unmethylated
LOC116605658	unmethylated
LOC5518344	unmethylated
LOC5518345	unmethylated
LOC116601994	unmethylated
LOC5518346	unmethylated
LOC5518347	unmethylated
LOC5518290	unmethylated
LOC5518291	unmethylated
LOC116611509	unmethylated
LOC5503574	unmethylated
LOC116611527	unmethylated
LOC116611508	unmethylated
LOC125561100	unmethylated
LOC5498946	unmethylated
LOC5501886	unmethylated
LOC116609348	unmethylated
LOC5501880	unmethylated
LOC116609352	unmethylated
LOC5501881	unmethylated
LOC116609351	unmethylated
LOC5501882	unmethylated
LOC116609347	unmethylated
LOC5501884	unmethylated
LOC5501890	unmethylated
LOC5515512	unmethylated
LOC116619923	unmethylated
LOC116619926	unmethylated
LOC116619922	unmethylated
LOC5515514	unmethylated
LOC125561101	unmethylated
LOC5515491	unmethylated
LOC5515501	unmethylated
LOC116619902	unmethylated
LOC5515494	unmethylated
LOC5515561	unmethylated
LOC116619931	unmethylated
LOC5515520	unmethylated
LOC5515524	unmethylated
LOC5515525	unmethylated
LOC5515565	unmethylated
LOC5515566	unmethylated
LOC5515526	unmethylated
LOC116619915	unmethylated
LOC5515527	unmethylated
LOC5515528	unmethylated
LOC5515569	unmethylated
LOC5515529	unmethylated
LOC116619898	unmethylated
LOC116619903	unmethylated
LOC5515574	unmethylated
LOC5515576	unmethylated
LOC5515575	unmethylated
LOC5515535	unmethylated
LOC116619890	unmethylated
LOC5515587	unmethylated
LOC5515588	unmethylated
LOC116619905	unmethylated
LOC116619913	unmethylated
LOC5515591	unmethylated
LOC116619897	unmethylated
LOC5515594	unmethylated
LOC5515596	unmethylated
LOC5515551	unmethylated
LOC5515550	unmethylated
LOC5515552	unmethylated
LOC116619914	unmethylated
LOC5515603	unmethylated
LOC116619884	unmethylated
LOC5515604	unmethylated
LOC5514773	unmethylated
LOC116619567	unmethylated
LOC5514768	unmethylated
LOC116619573	unmethylated
LOC116619576	unmethylated
LOC5514783	unmethylated
LOC5514778	unmethylated
LOC5514767	unmethylated
LOC5514782	unmethylated
LOC5514781	unmethylated
LOC5514785	unmethylated
LOC125561109	unmethylated
LOC116619522	unmethylated
LOC5514829	unmethylated
LOC5514787	unmethylated
LOC5514832	unmethylated
LOC116610160	unmethylated
LOC116619528	unmethylated
